url,api,type,boot,logo,urls,user-agent,pass,timeout,core,ua,epg,catchup,playertype,ext,name
bililive.m3u,csp_FeiyangGuard,3,,,,,,10,,okhttp/3.15,,,,,肥羊B站直播
douyuyqk.m3u,csp_FeiyangGuard,3,,,,,,10,,okhttp/3.15,,,,,肥羊斗鱼一起看
yylunbo.m3u,csp_FeiyangGuard,3,,,,,,10,,okhttp/3.15,,,,,肥羊YY轮播
,,,,,['proxy://do=live&type=txt&ext=https://ghproxy.net/https://raw.githubusercontent.com/hjdhnx/hipy-sniffer/refs/heads/main/static/lives/lives.txt'],,,,,,,,,,稳定github直播
,,,,,['proxy://do=live&type=txt&ext=http://127.0.0.1:9978/api/v1/file/drpy_dzlive/lives/华数2.m3u'],,,,,,,,,,华数2
,,,,,['proxy://do=live&type=txt&ext=http://127.0.0.1:9978/api/v1/file/drpy_dzlive/lives/杭州华数.m3u'],,,,,,,,,,杭州华数
,,,,,['proxy://do=live&type=txt&ext=http://itvbox.cc/云星日记/Ipv4.txt'],,,,,,,,,,云星日记直播
,,,,,['proxy://do=live&type=txt&ext=http://127.0.0.1:5708/ysp'],,,,,,,,,,本地嗅探器直播
https://gh-proxy.net/https://raw.githubusercontent.com/fanmingming/live/refs/heads/main/tv/m3u/ipv6.m3u,,0,,https://epg.v1.mk/logo/{name}.png,,,,,,,http://epg.51zmt.top:8000/api/diyp/?ch={name}&date={date},,,,V6范明明
https://mirror.ghproxy.com/https://raw.githubusercontent.com/mygoww/xoxo/main/zb/测试.txt,,0,,https://epg.112114.xyz/logo/{name}.png,,,,,,okhttp/3.15,http://epg.112114.xyz/?ch={name}&date={date},,1,,live
https://mirror.ghproxy.com/https://raw.githubusercontent.com/Ftindy/IPTV-URL/main/IPV6.m3u,,0,,https://epg.112114.xyz/logo/{name}.png,,,,,,okhttp/3.15,http://epg.112114.xyz/?ch={name}&date={date},,1,,live2
https://gitlab.com/xmbjm/omg/-/raw/main/lib/live.txt,,0,,,,,,,,,,,1,,ITV
https://ghp.ci/raw.githubusercontent.com/MemoryCollection/IPTV/refs/heads/main/itvlist.m3u,,0,,,,,,,,,,,1,,IPV4
https://ghp.ci/https://raw.githubusercontent.com/fanmingming/live/refs/heads/main/tv/m3u/ipv6.m3u,,0,,,,,,,,,,,1,,IPV6①
https://ghp.ci/https://raw.githubusercontent.com/wwb521/live/main/tv.m3u,,0,,https://live.fanmingming.com/tv/{name}.png,,,,,,,,,1,,IPV6②
http://我不是.肥猫.live/TV/tvzb.txt,,0,,https://epg.112114.xyz/logo/{name}.png,,,,,,okhttp/3.15,http://epg.112114.xyz/?ch={name}&date={date},,1,,肥猫
https://raw.githubusercontent.com/liu673cn/box/main/libs/tv/tvlive.txt,,0,,https://epg.112114.xyz/logo/{name}.png,,,,,,okhttp/3.15,http://epg.112114.xyz/?ch={name}&date={date},,1,,SAO0
https://raw.githubusercontent.com/liu673cn/box/main/lib/tv/ipv6.m3u,,0,,https://epg.112114.xyz/logo/{name}.png,,,,,,okhttp/3.15,http://epg.112114.xyz/?ch={name}&date={date},,1,,IPV6
https://pan.baidu.re/down.php/c0abcb4a572aef3c573a25227d90757c.txt,,0,,https://epg.v1.mk/logo/{name}.png,,okhttp/5.0.0-alpha.14,,,,,http://epg99.112114.xyz/?ch={name}&date={date},,1,,📺青龙电视
https://tv.iill.top/m3u/Gather,,0,,http://127.0.0.1:10079/p/0/proxy/https://epg.112114.xyz/logo/{name}.png,,,,,,okhttp/3.15,http://127.0.0.1:10079/p/0/proxy/http://epg.112114.xyz/?ch={name}&date={date},,,,📺Gather.电视直播
https://cdn.gh-proxy.com/raw.githubusercontent.com/yoursmile66/TVBox/refs/heads/main/live.txt,,0,,https://epg.112114.xyz/logo/{name}.png,,,,,,okhttp/3.15,http://epg.51zmt.top:8000/api/diyp/?ch={name}&date={date},,1,,Yoursmile
http://127.0.0.1:35457/tv.m3u,,0,,https://epg.112114.xyz/logo/{name}.png,,,,,,okhttp/3.15,http://epg.51zmt.top:8000/api/diyp/?ch={name}&date={date},,,,feiyang.allinone
